,T_prop_T2 (UTC),final_RAAN_T2,inc_degrees,angle_between_vernal_and_pm,long_ECI,del_RAAN
710,2023-03-21 10:51:00,182.29411907110898,9.986,346.21350110856025,80.65853552407344,101.63558354703554
711,2023-03-21 10:56:00,182.26874858991113,9.986,347.4669233439743,79.40511328865938,102.86363530125175
712,2023-03-21 11:01:00,182.2433781087131,9.986,348.7203455793499,78.15169105328386,104.09168705542925
713,2023-03-21 11:06:00,182.21800762751525,9.986,349.97376781468733,76.89826881794642,105.31973880956883
714,2023-03-21 11:11:00,182.19263714631734,9.986,351.22719004998703,75.64484658264672,106.54779056367062
715,2023-03-21 11:16:00,182.16726666511948,9.986,352.48061228524784,74.39142434738591,107.77584231773358
716,2023-03-21 11:21:00,182.14189618392152,9.986,353.7340345204734,73.13800211216034,109.00389407176118
717,2023-03-21 11:26:00,182.1165257027236,9.986,354.9874567556608,71.88457987697296,110.23194582575064
718,2023-03-21 11:31:00,182.09115522152575,9.986,356.24087899081366,70.63115764182004,111.45999757970571
719,2023-03-21 11:36:00,182.06578474032784,9.986,357.49430122593094,69.37773540670281,112.68804933362503
720,2023-03-21 11:41:00,182.04041425912988,9.986,358.7477234610144,68.12431317161935,113.91610108751053
721,2023-03-21 11:46:00,182.01504377793196,9.986,0.0011456960597848193,66.87089093657396,115.14415284135801
722,2023-03-21 11:51:00,181.9896732967341,9.986,1.2545679310722655,65.61746870156148,116.37220459517263
723,2023-03-21 11:56:00,181.96430281553626,9.986,2.5079901660490376,64.3640464665847,117.60025634895156
724,2023-03-21 12:01:00,181.93893233433823,9.986,3.761412400993741,63.11062423164,118.82830810269823
725,2023-03-21 12:06:00,181.91356185314038,9.986,5.014834635905147,61.85720199672859,120.05635985641179
726,2023-03-21 12:11:00,181.88819137194247,9.986,6.268256870783657,60.60377976185008,121.28441161009239
727,2023-03-21 12:16:00,181.8628208907445,9.986,7.521679105629674,59.350357527004064,122.51246336374044
728,2023-03-21 12:21:00,181.8374504095466,9.986,8.775101340443594,58.09693529219014,123.74051511735645
